"Código
CUOC","Ocupación
","Buscado en","Descripción Completa"
26110,"
                                        Abogados
                                    ",Ocupaciones,"Brindan asesoramiento jurídico y legal a sus clientes sobre una amplia variedad de temas, redactan documentos jurídicos, autentican firmas y documentos, representan a sus clientes ante órganos administrativos o tribunales y abogan casos o llevan a cabo acciones judiciales ante los tribunales de justicia o dan instrucciones a abogados para litigar ante los tribunales superiores de justicia. Se pueden desempeñar en notarías, gobierno, juzgados, fiscalías, buffet de abogados, establecimientos comerciales, financieros, industriales, entre otros."
26199,"
                                        Profesionales en derecho no clasificados en otras ocupaciones
                                    ",Denominaciones,"Jurista excepto abogado o juez"
13499,"
                                        Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones
                                    ",Denominaciones,"Gerente firma de abogados"
34113,"
                                        Asistentes legales y afines
                                    ",Denominaciones,"Asistente de abogado. Asistente de bufete abogados. Auxiliar bufete abogado"
33553,"
                                        Investigadores criminalísticos y judiciales
                                    ","Descripción Ocupaciones","Apoyan científica, técnica y operativamente en el desarrollo de procesos e investigaciones que se adelantan en el área judicial y criminalística. Realizan funciones de apoyo en los tribunales o en las oficinas de abogados; prestan servicios relacionados con asuntos legales tales como contratos de seguros, transferencias de propiedad y concesión de préstamos y otras operaciones financieras; realizan investigaciones para los clientes. Se pueden desempeñar en juzgados, salas penales, fiscalías, tribunales, instituciones de seguridad pública y privada, por cuenta propia, entre otros."
33420,"
                                        Secretarios jurídicos
                                    ","Descripción Ocupaciones","Realizan y coordinan funciones y procedimientos administrativos de apoyo en los tribunales, oficinas de abogados y otras instancias judiciales; programan audiencias y velan por el mantenimiento de archivos y expedientes. Prestan servicios relacionados con asuntos legales tales como contratos de seguros, transferencias de propiedad y concesión de préstamos y otras operaciones financieras. Se pueden desempeñar en juzgados, salas penales, fiscalía, tribunales, entre otros."
33540,"
                                        Funcionarios e inspectores gubernamentales de expedición de licencias
                                    ",Funciones,"Coordinar con las autoridades gubernamentales, líderes cívicos, abogados y grupos de interés especial en la formulación y desarrollo de planes urbanísticos de la comunidad."
21640,"
                                        Planificadores urbanos, regionales y de tránsito
                                    ",Funciones,"Brindar asesoramiento y coordinar con las autoridades gubernamentales, empresas, líderes cívicos, abogados y grupos de interés especial en formulación y planificación de desarrollo urbano y regional."
33210,"
                                        Agentes y corredores de seguros
                                    ",Funciones,"Preparar informes de valoración y análisis para agencias de arrendamiento, compañías de seguros, departamentos de gobierno, juzgados, abogados, acreedores, compradores y subastadores."
,,,
